Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1330","Herbicides – Uracil","2020","2020","t","7.59","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1327","Herbicides - nes","2017","2017","t","1325.71","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1327","Herbicides - nes","2018","2018","t","1464.23","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1327","Herbicides - nes","2019","2019","t","1203.36","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1327","Herbicides - nes","2020","2020","t","1114.94","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2017","2017","t","2530.83","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2018","2018","t","2487.61","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2019","2019","t","2469.63","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2020","2020","t","2213.17","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2017","2017","t","298.94","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2018","2018","t","352.93","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2019","2019","t","426.4","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2020","2020","t","448.88","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2017","2017","t","963.07","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2018","2018","t","1057.87","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2019","2019","t","1024.48","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2020","2020","t","901.1","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2017","2017","t","37.05","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2018","2018","t","23.37","X","Figure from international organizations","Figure from international organizations"
